NAME	POS	R/L	Batting #	TEAM	A/H	OPP	OPP RANK	OPP RANK VAL	PITCHER	THROWS	VS PITCHER	PROP	LINE	LAST ➡️	% OVER	LYR AVG	LYR % OVER	LYR # MATCHUPS	LYR MATCHUPS	OVER	UNDER
Kyle Schwarber	LF	L	2	PHI	@	NYY	14th	5.33	Cortes	L	.500 1-2, 0 HR, 0 RBI, 0 BB, 0 SO	1b	0.5	0,1,0,0	25%	0.36	31%	0	0%	'+185	-260
Francisco Mejia	C	S	9	TB	@	WSH	15th	5.0	Williams	R		1b	0.5	0,1	50%	0.47	36%	0	0%	'+110	-150
Jorge Mateo	SS	R	8	BAL	@	TEX	3rd	8.33	Gray	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 0 SO	1b	0.5	0,0,2	33%	0.43	39%	6	33%	'+160	-220
Hunter Renfroe	RF	R	4	LAA	@	SEA	28th	3.5	Kirby	R		1b	0.5	1,1,0,0	50%	0.54	44%	0	0%	'+125	-170
Miles Mastrobuoni	SS		-	CHC	@	CIN	24th	4.0	Overton	R		1b	0.5	0,0,0,0	0%	0.5	33%	0	0%	'+105	-140
Tj Friedl	CF	L	9	CIN	v	CHC	15th	5.0	Smyly	L		1b	0.5	2,1,0,0	50%	0.43	32%	6	33%	'+115	-150
Max Muncy	3B	L	4	LAD	v	COL	12th	5.5	Feltner	R	.250 1-4, 0 HR, 0 RBI, 1 BB, 1 SO	1b	0.5	0,0,1,0	25%	0.35	29%	18	22%	'+185	-260
Isaac Paredes	3B	R	6	TB	@	WSH	15th	5.0	Williams	R		1b	0.5	1,1,0,1	75%	0.3	26%	0	0%	'+115	-155
Austin Hedges	C	R	-	PIT	@	BOS	4th	7.33	Crawford	R	.000 0-1, 0 HR, 0 RBI, 0 BB, 0 SO	1b	0.5	0,0,0	0%	0.37	32%	5	20%	'+155	-210
Triston Casas	1B	L	6	BOS	v	PIT	18th	4.67	Oviedo	R		1b	0.5	0,1,0,0	25%	0.33	30%	0	0%	'+160	-220
Danny Jansen	C	R	-	TOR	@	KC	30th	2.0	Singer	R		1b	0.5	1,0	50%	0.46	38%	4	25%	'+110	-145
Sam Haggerty	CF	S	6	SEA	v	LAA	8th	6.67	Detmers	L	.333 2-6, 0 HR, 0 RBI, 0 BB, 2 SO	1b	0.5	0,0,0	0%	0.38	29%	12	42%	'+150	-205
Elehuris Montero	3B	R	-	COL	@	LAD	23rd	4.25	Grove	R		1b	0.5	0,0,2,1	50%	0.37	29%	5	20%	'+210	-295
Patrick Wisdom	3B	R	6	CHC	@	CIN	24th	4.0	Overton	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	1b	0.5	1,0,0	33%	0.33	29%	14	36%	'+160	-215
